Start	Stop	Theta	Pi	TajimasD	Fay&WuH
880000	930000	0.000938265031478	0.000693089537652	-0.959657604531	None
890000	940000	0.000853664191647	0.000573278183807	-1.20495101256	None
900000	950000	0.000774170095031	0.000494544101337	-1.32215174755	None
910000	960000	0.000855665200859	0.000584714114536	-1.16168169212	None
920000	970000	0.000909762287288	0.000668500659708	-0.973652560519	None
930000	980000	0.000986115158061	0.000754108527132	-0.862275521669	None
940000	990000	0.000950004368358	0.000708168313582	-0.932417910076	None
950000	1000000	0.000994413448974	0.000709520106142	-1.0508106988	None
960000	1010000	0.0009003768706	0.000572059476239	-1.33478007925	None
970000	1020000	0.000913520712136	0.000568063507147	-1.38496059332	None
980000	1030000	0.000969795088654	0.000652083448885	-1.20398825	None
990000	1040000	0.00104093864587	0.000729596595519	-1.09966230481	None
1000000	1050000	0.000897100049643	0.000652702667504	-0.999333810383	None
1010000	1060000	0.000860994011001	0.000635732404472	-0.958981169143	None
1020000	1070000	0.000932554562887	0.000725287079759	-0.816019635799	None
1030000	1080000	0.000966488852531	0.000782879683139	-0.698060323604	None
1040000	1090000	0.000927996444547	0.000762470111165	-0.655470644999	None
1050000	1100000	0.00104410789364	0.000842815845405	-0.709691109378	None
1060000	1110000	0.0011835149279	0.00101248046988	-0.532928180191	None
1070000	1120000	0.00119397062296	0.00104489636156	-0.460410504259	None
1080000	1130000	0.00107642705914	0.00091462027537	-0.553638414756	None
1090000	1140000	0.00116782628956	0.00103386993374	-0.422914237701	None
1100000	1150000	0.00113112883886	0.00109248560427	-0.125910156036	None
1110000	1160000	0.0011072792295	0.001041616477	-0.218452292505	None
1120000	1170000	0.00109202843436	0.00104639837871	-0.153877883294	None
1130000	1180000	0.0011925786282	0.00124274497591	0.15511780846	None
1140000	1190000	0.00114202355123	0.00119813643629	0.181097102694	None
1150000	1200000	0.00126544969711	0.00113916354038	-0.368288203089	None
1160000	1210000	0.00114231751856	0.000997199244356	-0.468308213647	None
1170000	1220000	0.00109229891065	0.000870248409259	-0.749047008691	None
1180000	1230000	0.000997869418199	0.000642346149287	-1.31031792936	None
1190000	1240000	0.000947654645233	0.000533459770037	-1.60601672192	None
1200000	1250000	0.00083507371817	0.000460072711716	-1.64637335631	None
1210000	1260000	0.000871177459865	0.000507084586941	-1.53257455915	None
1220000	1270000	0.000905870418177	0.00053137382294	-1.51532165164	None
1230000	1280000	0.000873937494045	0.000594465450804	-1.17187405826	None
1240000	1290000	0.000923222513179	0.000722245218966	-0.798453782581	None
1250000	1300000	0.000965407355235	0.000778033063507	-0.712390122086	None
1260000	1310000	0.00108189931034	0.0010158972076	-0.224414824714	None
1270000	1320000	0.00115186653388	0.00117860502205	0.0855329604434	None
1280000	1330000	0.00117785491656	0.00116844545544	-0.0294440073067	None
1290000	1340000	0.00123865446762	0.00110980345684	-0.383694064187	None
1300000	1350000	0.00124301752432	0.00111894578929	-0.368220216054	None
1310000	1360000	0.00130316835254	0.00104847976189	-0.721250144398	None
1320000	1370000	0.00137583957003	0.00108503973371	-0.780556359867	None
1330000	1380000	0.00153396473851	0.00126011522597	-0.660036204509	None
1340000	1390000	0.00200744266127	0.00195358633566	-0.0993901997581	None
1350000	1400000	0.00220346990341	0.00213297535977	-0.118566859537	None
1360000	1410000	0.00214626123379	0.00205311668124	-0.160826052714	None
1370000	1420000	0.00194480779778	0.00179063435515	-0.293534971365	None
1380000	1430000	0.00184280422303	0.00162714974332	-0.432943572557	None
1390000	1440000	0.001388756768	0.000948853655594	-1.16848061068	None
1400000	1450000	0.00123513219059	0.000793240312765	-1.3185662164	None
1410000	1460000	0.00117227735449	0.000756330525765	-1.30579828437	None
1420000	1470000	0.00114872830729	0.000807782191857	-1.09205478449	None
1430000	1480000	0.0011513499449	0.000839899720767	-0.99530756653	None
1440000	1490000	0.00109679607596	0.000821561183262	-0.920709034076	None
1450000	1500000	0.00107336014534	0.000816208586457	-0.877082164507	None
1460000	1510000	0.00113235008308	0.00079260118325	-1.10060696021	None
1470000	1520000	0.00125272424537	0.000743050989129	-1.49444415823	None
1480000	1530000	0.00126302388202	0.000685669453946	-1.68155684594	None
1490000	1540000	0.00130092822461	0.000720947426419	-1.64406539807	None
1500000	1550000	0.00128601350816	0.000695194229787	-1.69553193502	None
1510000	1560000	0.00124473566547	0.000633480712387	-1.81201409515	None
1520000	1570000	0.00117898354401	0.00060488708551	-1.79533027246	None
1530000	1580000	0.00110471164398	0.000588512963201	-1.72121854307	None
1540000	1590000	0.000998587063354	0.000517276721122	-1.7731765564	None
1550000	1600000	0.000983770171204	0.000544582968709	-1.64174228737	None
1560000	1610000	0.000999635562252	0.00061826403596	-1.40341845118	None
1570000	1620000	0.00117463077792	0.000861543510878	-0.983031666966	None
1580000	1630000	0.00136846848905	0.00108270290954	-0.771507812523	None
1590000	1640000	0.00141338941661	0.00113960551562	-0.715902886012	None
1600000	1650000	0.00143193899974	0.0011513819899	-0.724261009874	None
1610000	1660000	0.00152081614838	0.00126849516943	-0.613676013949	None
1620000	1670000	0.00151786825856	0.00127952184145	-0.580796436936	None
1630000	1680000	0.00154335299898	0.00118746660801	-0.85299689662	None
1640000	1690000	0.00172524841	0.00128254097455	-0.949543560947	None
1650000	1700000	0.00185417338705	0.00139918421247	-0.906600456538	None
1660000	1710000	0.00189480744645	0.00138588649301	-0.988517121785	None
1670000	1720000	0.00201349742526	0.0012062148066	-1.46837196254	None
1680000	1730000	0.00153247718729	0.0010589812837	-1.12526338637	None
1690000	1740000	0.00131729644012	0.000977198949853	-0.940834975885	None
1700000	1750000	0.00123449943764	0.000916235570267	-0.945393264615	None
1710000	1760000	0.00110339566391	0.0007923735796	-1.03609886065	None
1720000	1770000	0.00102252887195	0.000675333311962	-1.24993292437	None
1730000	1780000	0.000987400094717	0.000585432200503	-1.49754133001	None
1740000	1790000	0.000867888553605	0.000432387872908	-1.84143975554	None
1750000	1800000	0.000945525942291	0.000379598626987	-2.19966381266	None
1760000	1810000	0.0010572348894	0.000399142921945	-2.290941766	None
1770000	1820000	0.00116915527334	0.000439250173217	-2.29965275458	None
1780000	1830000	0.00131461171539	0.000568895384775	-2.09197934127	None
1790000	1840000	0.00138819494001	0.000647751931675	-1.96823913417	None
1800000	1850000	0.00125867120716	0.00066663143323	-1.733457273	None
1810000	1860000	0.00133719474757	0.000757996885078	-1.59811262027	None
1820000	1870000	0.00126543644028	0.000723056199686	-1.58123616104	None
1830000	1880000	0.00124199935306	0.000649875274211	-1.7590862622	None
1840000	1890000	0.00119069795641	0.000598705133841	-1.83411624503	None
1850000	1900000	0.00126918633509	0.000601777527635	-1.9415753387	None
1860000	1910000	0.00122954730991	0.000540372379083	-2.0682381336	None
1870000	1920000	0.00128710360109	0.000766043856222	-1.49453458139	None
1880000	1930000	0.00146312903946	0.00103037308119	-1.09345977406	None
1890000	1940000	0.00152884292658	0.00128989723008	-0.578006164957	None
1900000	1950000	0.00155664969689	0.00141419186619	-0.338509580934	None
1910000	1960000	0.00152939440568	0.00147559478468	-0.13012509489	None
1920000	1970000	0.00159328776756	0.0014179353722	-0.407152345944	None
1930000	1980000	0.00177992388851	0.00157082066611	-0.434789718375	None
1940000	1990000	0.00190225087379	0.0016034996144	-0.581398183116	None
1950000	2000000	0.00202968651759	0.00176860470355	-0.476360247042	None
1960000	2010000	0.00225262453633	0.0019996002902	-0.41536376192	None
1970000	2020000	0.0023902148677	0.00229555016845	-0.146284680568	None
1980000	2030000	0.00190785451581	0.00188966765787	-0.0351661192543	None
1990000	2040000	0.0020243308073	0.00186496019829	-0.290843249127	None
2000000	2050000	0.00199712114993	0.00174506407578	-0.466293855645	None
2010000	2060000	0.00188674469301	0.00157922744578	-0.603330403913	None
2020000	2070000	0.00180461568626	0.00136767844758	-0.896907151231	None
2030000	2080000	0.00169870549878	0.00115347330844	-1.18833269047	None
2040000	2090000	0.0014912883692	0.000868841976695	-1.54350948511	None
2050000	2100000	0.00169740187829	0.00108265166483	-1.34094128502	None
2060000	2110000	0.00178440044541	0.00127235848549	-1.06289106873	None
2070000	2120000	0.00210600339722	0.00154316146418	-0.991205005929	None
2080000	2130000	0.00242264926803	0.00214082295419	-0.4318216862	None
2090000	2140000	0.00260272233273	0.00241475983563	-0.268118655035	None
2100000	2150000	0.00252473031981	0.00242369215358	-0.148550311286	None
2110000	2160000	0.00251952143386	0.00247424982371	-0.0666953129734	None
2120000	2170000	0.00225974388329	0.00227660766129	0.0276803578462	None
2130000	2180000	0.00218000436749	0.00182003196961	-0.612340506215	None
2140000	2190000	0.00222575601971	0.00179910190077	-0.711082016779	None
2150000	2200000	0.00223685894045	0.00170179405582	-0.887338165864	None
2160000	2210000	0.0025393582181	0.00192727649279	-0.894888873363	None
2170000	2220000	0.00268756389992	0.00221287624552	-0.655963932833	None
2180000	2230000	0.00262054201586	0.00226458293417	-0.504315526477	None
2190000	2240000	0.00337106968646	0.0035897948197	0.241198407621	None
2200000	2250000	0.00364455194031	0.00376882530039	0.126807076652	None
2210000	2260000	0.0040949068084	0.00443345208463	0.307542859623	None
2220000	2270000	0.00554149143099	0.00622191136757	0.457180915092	None
2230000	2280000	0.00596326077754	0.00669420841834	0.45653323487	None
2240000	2290000	0.00489144423641	0.00513017670212	0.181689776909	None
2250000	2300000	0.00457217668007	0.00504353147867	0.383694163327	None
2260000	2310000	0.00375306067201	0.00407577603957	0.319857145998	None
2270000	2320000	0.00242631497357	0.0024840871355	0.0882882329582	None
2280000	2330000	0.00192666046762	0.00198853419644	0.118796171193	None
2290000	2340000	0.00188173595982	0.00194359436351	0.121572724598	None
2300000	2350000	0.00175432958645	0.00174667717171	-0.0161193945246	None
2310000	2360000	0.00167254842253	0.00150983534409	-0.359342543429	None
2320000	2370000	0.00163635153787	0.00145430010207	-0.411217157163	None
2330000	2380000	0.00143510808503	0.00111346485447	-0.82775702569	None
2340000	2390000	0.00177149540289	0.00143920827862	-0.694044171853	None
2350000	2400000	0.00225719012452	0.00170638406179	-0.904520268138	None
2360000	2410000	0.00229330157414	0.00181590092533	-0.771616734587	None
2370000	2420000	0.00225459099829	0.00172234208719	-0.875648098626	None
2380000	2430000	0.00252252656418	0.00221111288449	-0.458196804527	None
2390000	2440000	0.00255278287891	0.00224479860476	-0.447834729081	None
2400000	2450000	0.00248003057862	0.00268037799978	0.299831211246	None
2410000	2460000	0.00298878336576	0.00337271022855	0.477242349238	None
2420000	2470000	0.00318316808892	0.00377969587344	0.696229170532	None
2430000	2480000	0.00301899370324	0.00363527160995	0.758250312881	None
2440000	2490000	0.00272067721642	0.00333221908034	0.834493654896	None
2450000	2500000	0.00228088146084	0.00256071534838	0.455037438491	None
2460000	2510000	0.00199055213064	0.00211830269499	0.237836886628	None
2470000	2520000	0.0022799815672	0.00243969573626	0.259878965878	None
2480000	2530000	0.00237872029456	0.00252121948279	0.222193762462	None
