nuB	nuF	tau	ll
0.564394573434	0.0866571371906	0.00188718525571	-518.023657543
0.0105478737517	0.0987646427461	0.0815041069749	-357.855870372
2.21448501054	0.26224198509	0.00885455086265	-515.982994376
0.0101208868743	0.095497589734	0.0793439592487	-357.884744719
0.010137809082	0.0958326625908	0.0791472602288	-357.71196836
0.190800159871	0.0227360014679	0.000447754859728	-518.461813506
0.0105130222843	0.095232190738	0.0812425345962	-357.807898374
0.0103938851831	0.0987573953132	0.080401028181	-357.711710556
0.011830491994	0.108737610817	0.0877956003798	-357.845562415
0.0100423704268	0.0928546218331	0.0782060951352	-357.537924187
0.012024252184	0.114188374152	0.0888505689061	-358.024729151
0.0100562565201	0.0947460466115	0.0788967419682	-357.805759487
51.701712266	0.0100046800167	0.579200992272	-412.37832433
0.0103474763535	0.0923597219985	0.0797833977852	-357.541605372
0.010988917562	0.103150952915	0.0831439314123	-357.681626749
0.0100559932938	0.095150994779	0.0787271971722	-357.711701321
0.0158608408334	0.0696491333389	0.00016863156857	-527.781509349
0.0102193493246	0.099031360171	0.0800923433088	-358.099865874
2.62842011125	0.279164039702	0.0105073880181	-515.543627505
